"","Div","HomeTeam","AwayTeam","Date"
"1","MLS","Inter Miami","RSL",2024-02-21
"2","MLS","LAFC","Seattle",2024-02-24
"3","MLS","Crew","Atlanta Utd",2024-02-24
"4","MLS","Portland Timbers","Rapids",2024-02-24
"5","MLS","Philadelphia","Fire",2024-02-24
"6","MLS","D.C. United","NE Revolution",2024-02-24
"7","MLS","St. Louis","RSL",2024-02-24
"8","MLS","Austin","Minnesota Utd",2024-02-24
"9","MLS","Orlando City","CF Montreal",2024-02-24
"10","MLS","FC Dallas","SJ Earthquakes",2024-02-24
"11","MLS","Charlotte","NYCFC",2024-02-24
"12","MLS","Dynamo FC","Sporting KC",2024-02-24
"13","MLS","FC Cincinnati","Toronto FC",2024-02-25
"14","MLS","Nashville","NY Red Bulls",2024-02-25
"15","MLS","LA Galaxy","Inter Miami",2024-02-25
"16","MLS","Austin","LA Galaxy",2024-04-27
"17","MLS","FC Cincinnati","Rapids",2024-04-27
"18","MLS","Crew","CF Montreal",2024-04-27
"19","MLS","Philadelphia","RSL",2024-04-27
"20","MLS","NYCFC","Charlotte",2024-04-27
"21","MLS","NY Red Bulls","Vancouver Wcaps",2024-04-27
"22","MLS","NE Revolution","Inter Miami",2024-04-27
"23","MLS","D.C. United","Seattle",2024-04-27
"24","MLS","Orlando City","Toronto FC",2024-04-27
"25","MLS","Fire","Atlanta Utd",2024-04-27
"26","MLS","LAFC","Portland Timbers",2024-04-27
"27","MLS","FC Dallas","Dynamo FC",2024-04-27
"28","MLS","Minnesota Utd","Sporting KC",2024-04-27
"29","MLS","Nashville","SJ Earthquakes",2024-04-27
"30","MLS","SJ Earthquakes","LAFC",2024-05-04
"31","MLS","Inter Miami","NY Red Bulls",2024-05-04
"32","MLS","D.C. United","Philadelphia",2024-05-04
"33","MLS","Charlotte","Portland Timbers",2024-05-04
"34","MLS","Orlando City","FC Cincinnati",2024-05-04
"35","MLS","Toronto FC","FC Dallas",2024-05-04
"36","MLS","Atlanta Utd","Minnesota Utd",2024-05-04
"37","MLS","Fire","NE Revolution",2024-05-04
"38","MLS","Vancouver Wcaps","Austin",2024-05-04
"39","MLS","Dynamo FC","St. Louis",2024-05-04
"40","MLS","RSL","Sporting KC",2024-05-04
"41","MLS","Nashville","CF Montreal",2024-05-04
"42","MLS","Seattle","LA Galaxy",2024-05-05
"43","MLS","NYCFC","Rapids",2024-05-05
"44","MLS","Charlotte","Nashville",2024-05-11
"45","MLS","Atlanta Utd","D.C. United",2024-05-11
"46","MLS","Philadelphia","Orlando City",2024-05-11
"47","MLS","Toronto FC","NYCFC",2024-05-11
"48","MLS","CF Montreal","Inter Miami",2024-05-11
"49","MLS","NY Red Bulls","NE Revolution",2024-05-11
"50","MLS","St. Louis","Fire",2024-05-11
"51","MLS","LA Galaxy","RSL",2024-05-11
"52","MLS","Sporting KC","Dynamo FC",2024-05-11
"53","MLS","Rapids","SJ Earthquakes",2024-05-11
"54","MLS","FC Dallas","Austin",2024-05-11
"55","MLS","LAFC","Vancouver Wcaps",2024-05-11
"56","MLS","Crew","FC Cincinnati",2024-05-11
"57","MLS","Portland Timbers","Seattle",2024-05-12
"58","MLS","FC Cincinnati","Atlanta Utd",2024-05-15
"59","MLS","Philadelphia","NYCFC",2024-05-15
"60","MLS","Orlando City","Inter Miami",2024-05-15
"61","MLS","D.C. United","NY Red Bulls",2024-05-15
"62","MLS","CF Montreal","Crew",2024-05-15
"63","MLS","Austin","Dynamo FC",2024-05-15
"64","MLS","Portland Timbers","SJ Earthquakes",2024-05-15
"65","MLS","Rapids","Vancouver Wcaps",2024-05-15
"66","MLS","Fire","Charlotte",2024-05-15
"67","MLS","St. Louis","LAFC",2024-05-15
"68","MLS","RSL","Seattle",2024-05-15
"69","MLS","Nashville","Toronto FC",2024-05-15
"70","MLS","Minnesota Utd","LA Galaxy",2024-05-15
"71","MLS","Nashville","Atlanta Utd",2024-05-18
"72","MLS","Toronto FC","CF Montreal",2024-05-18
"73","MLS","Inter Miami","D.C. United",2024-05-18
"74","MLS","FC Cincinnati","St. Louis",2024-05-18
"75","MLS","NYCFC","NY Red Bulls",2024-05-18
"76","MLS","Charlotte","LA Galaxy",2024-05-18
"77","MLS","NE Revolution","Philadelphia",2024-05-18
"78","MLS","SJ Earthquakes","Orlando City",2024-05-18
"79","MLS","Austin","Sporting KC",2024-05-18
"80","MLS","Seattle","Vancouver Wcaps",2024-05-18
"81","MLS","Dynamo FC","FC Dallas",2024-05-18
"82","MLS","RSL","Rapids",2024-05-18
"83","MLS","Minnesota Utd","Portland Timbers",2024-05-18
"84","MLS","Fire","Crew",2024-05-18
"85","MLS","CF Montreal","Nashville",2024-05-25
"86","MLS","D.C. United","Fire",2024-05-25
"87","MLS","Charlotte","Philadelphia",2024-05-25
"88","MLS","Toronto FC","FC Cincinnati",2024-05-25
"89","MLS","Atlanta Utd","LAFC",2024-05-25
"90","MLS","NE Revolution","NYCFC",2024-05-25
"91","MLS","Orlando City","Crew",2024-05-25
"92","MLS","FC Dallas","RSL",2024-05-25
"93","MLS","Portland Timbers","Sporting KC",2024-05-25
"94","MLS","Rapids","Minnesota Utd",2024-05-25
"95","MLS","SJ Earthquakes","Austin",2024-05-25
"96","MLS","Vancouver Wcaps","Inter Miami",2024-05-25
"97","MLS","St. Louis","Seattle",2024-05-25
"98","MLS","LA Galaxy","Dynamo FC",2024-05-25
"99","MLS","CF Montreal","D.C. United",2024-05-29
"100","MLS","NY Red Bulls","Charlotte",2024-05-29
"101","MLS","FC Cincinnati","Nashville",2024-05-29
"102","MLS","Philadelphia","Toronto FC",2024-05-29
"103","MLS","Inter Miami","Atlanta Utd",2024-05-29
"104","MLS","LA Galaxy","FC Dallas",2024-05-29
"105","MLS","Seattle","RSL",2024-05-29
"106","MLS","Dynamo FC","Rapids",2024-05-29
"107","MLS","Austin","Portland Timbers",2024-05-29
"108","MLS","Sporting KC","Vancouver Wcaps",2024-05-29
"109","MLS","Fire","Orlando City",2024-05-29
"110","MLS","LAFC","Minnesota Utd",2024-05-29
"111","MLS","Crew","NE Revolution",2024-10-12
"112","MLS","NYCFC","SJ Earthquakes",2024-05-31
"113","MLS","Philadelphia","CF Montreal",2024-06-01
"114","MLS","D.C. United","Toronto FC",2024-06-01
"115","MLS","Inter Miami","St. Louis",2024-06-01
"116","MLS","NY Red Bulls","Orlando City",2024-06-01
"117","MLS","LAFC","FC Dallas",2024-06-01
"118","MLS","RSL","Austin",2024-06-01
"119","MLS","Minnesota Utd","Sporting KC",2024-06-01
"120","MLS","Fire","LA Galaxy",2024-06-01
"121","MLS","Portland Timbers","Dynamo FC",2024-06-01
"122","MLS","Nashville","NE Revolution",2024-06-01
"123","MLS","Vancouver Wcaps","Rapids",2024-06-01
"124","MLS","Atlanta Utd","Charlotte",2024-06-02
"125","MLS","Crew","Seattle",2024-09-07
"126","MLS","NE Revolution","NY Red Bulls",2024-06-08
"127","MLS","Minnesota Utd","FC Dallas",2024-06-08
"128","MLS","St. Louis","Portland Timbers",2024-06-08
"129","MLS","Sporting KC","Seattle",2024-06-08
"130","MLS","NYCFC","Crew",2024-06-14
"131","MLS","CF Montreal","RSL",2024-06-15
"132","MLS","Orlando City","LAFC",2024-06-15
"133","MLS","NE Revolution","Vancouver Wcaps",2024-06-15
"134","MLS","NY Red Bulls","Nashville",2024-06-15
"135","MLS","Atlanta Utd","Dynamo FC",2024-06-15
"136","MLS","Philadelphia","Inter Miami",2024-06-15
"137","MLS","Charlotte","D.C. United",2024-06-15
"138","MLS","Toronto FC","Fire",2024-06-15
"139","MLS","LA Galaxy","Sporting KC",2024-06-15
"140","MLS","FC Dallas","St. Louis",2024-06-15
"141","MLS","Rapids","Austin",2024-06-15
"142","MLS","Seattle","Minnesota Utd",2024-06-15
"143","MLS","SJ Earthquakes","FC Cincinnati",2024-06-15
"144","MLS","RSL","LAFC",2024-03-02
"145","MLS","Minnesota Utd","Crew",2024-03-02
"146","MLS","Inter Miami","Orlando City",2024-03-02
"147","MLS","Vancouver Wcaps","Charlotte",2024-03-02
"148","MLS","Dynamo FC","NY Red Bulls",2024-03-02
"149","MLS","St. Louis","NYCFC",2024-03-02
"150","MLS","FC Dallas","CF Montreal",2024-03-02
"151","MLS","Sporting KC","Philadelphia",2024-03-02
"152","MLS","Fire","FC Cincinnati",2024-03-02
"153","MLS","SJ Earthquakes","LA Galaxy",2024-03-02
"154","MLS","Seattle","Austin",2024-03-02
"155","MLS","Rapids","Nashville",2024-03-02
"156","MLS","Portland Timbers","D.C. United",2024-03-02
"157","MLS","NE Revolution","Toronto FC",2024-03-03
"158","MLS","Inter Miami","Crew",2024-06-19
"159","MLS","Toronto FC","Nashville",2024-06-19
"160","MLS","Charlotte","Orlando City",2024-06-19
"161","MLS","CF Montreal","NY Red Bulls",2024-06-19
"162","MLS","D.C. United","Atlanta Utd",2024-06-19
"163","MLS","LA Galaxy","NYCFC",2024-06-19
"164","MLS","Austin","LAFC",2024-06-19
"165","MLS","SJ Earthquakes","Portland Timbers",2024-06-19
"166","MLS","Dynamo FC","Seattle",2024-06-19
"167","MLS","St. Louis","Rapids",2024-06-19
"168","MLS","FC Dallas","Minnesota Utd",2024-06-19
"169","MLS","Sporting KC","RSL",2024-06-19
"170","MLS","FC Cincinnati","Philadelphia",2024-06-19
"171","MLS","NY Red Bulls","Toronto FC",2024-06-22
"172","MLS","D.C. United","Dynamo FC",2024-06-22
"173","MLS","Crew","Sporting KC",2024-06-22
"174","MLS","FC Cincinnati","NE Revolution",2024-06-22
"175","MLS","Philadelphia","Charlotte",2024-06-22
"176","MLS","Orlando City","Fire",2024-06-22
"177","MLS","St. Louis","Atlanta Utd",2024-06-22
"178","MLS","Seattle","FC Dallas",2024-06-22
"179","MLS","RSL","LA Galaxy",2024-06-22
"180","MLS","LAFC","SJ Earthquakes",2024-06-22
"181","MLS","Rapids","CF Montreal",2024-06-22
"182","MLS","Portland Timbers","Vancouver Wcaps",2024-06-22
"183","MLS","Nashville","NYCFC",2024-06-22
"184","MLS","Minnesota Utd","Austin",2024-06-22
"185","MLS","NYCFC","Orlando City",2024-06-28
"186","MLS","Atlanta Utd","Toronto FC",2024-06-29
"187","MLS","NY Red Bulls","D.C. United",2024-06-29
