"","Div","HomeTeam","AwayTeam","Date"
"1","ARG","Sarmiento","Instituto",2024-05-10
"2","ARG","Arg Juniors","Rosario Central",2024-05-10
"3","ARG","Newells OB","Platense",2024-05-10
"4","ARG","Huracan","Defensa Justicia",2024-05-11
"5","ARG","Godoy Cruz","Barracas Central",2024-05-11
"6","ARG","Independiente","Talleres",2024-05-11
"7","ARG","River Plate","Central Cordoba",2024-05-11
"8","ARG","Deportivo Riestra","San Lorenzo",2024-05-12
"9","ARG","Tigre","Estudiantes",2024-05-12
"10","ARG","Lanus","Independiente Rivadavia",2024-05-12
"11","ARG","Belgrano","Racing Club",2024-05-12
"12","ARG","Atletico Tucuman","Boca Juniors",2024-05-12
"13","ARG","Gimnasia–LP","Velez Sarsfield",2024-05-13
"14","ARG","Union","Banfield",2024-05-13
"15","ARG","Instituto","Platense",2024-08-11
"16","ARG","Racing Club","Gimnasia–LP",2024-08-11
"17","ARG","Independiente Rivadavia","Boca Juniors",2024-08-11
"18","ARG","Belgrano","Union",2024-08-11
"19","ARG","Central Cordoba","Defensa Justicia",2024-08-11
"20","ARG","Barracas Central","Talleres",2024-08-11
"21","ARG","Tigre","Godoy Cruz",2024-08-11
"22","ARG","River Plate","Huracan",2024-08-11
"23","ARG","Deportivo Riestra","Lanus",2024-08-11
"24","ARG","Banfield","Velez Sarsfield",2024-08-11
"25","ARG","Arg Juniors","Sarmiento",2024-08-11
"26","ARG","San Lorenzo","Atletico Tucuman",2024-08-11
"27","ARG","Estudiantes","Independiente",2024-08-11
"28","ARG","Rosario Central","Newells OB",2024-08-11
"29","ARG","Independiente","Rosario Central",2024-08-18
"30","ARG","Union","Arg Juniors",2024-08-18
"31","ARG","Lanus","Central Cordoba",2024-08-18
"32","ARG","Talleres","Independiente Rivadavia",2024-08-18
"33","ARG","Sarmiento","Tigre",2024-08-18
"34","ARG","Atletico Tucuman","Estudiantes",2024-08-18
"35","ARG","Platense","Barracas Central",2024-08-18
"36","ARG","Newells OB","Racing Club",2024-08-18
"37","ARG","Godoy Cruz","Deportivo Riestra",2024-08-18
"38","ARG","Defensa Justicia","Banfield",2024-08-18
"39","ARG","Boca Juniors","San Lorenzo",2024-08-18
"40","ARG","Velez Sarsfield","Instituto",2024-08-18
"41","ARG","Gimnasia–LP","River Plate",2024-08-18
"42","ARG","Huracan","Belgrano",2024-08-18
"43","ARG","Deportivo Riestra","Sarmiento",2024-08-25
"44","ARG","Barracas Central","Velez Sarsfield",2024-08-25
"45","ARG","Instituto","Defensa Justicia",2024-08-25
"46","ARG","Lanus","Godoy Cruz",2024-08-25
"47","ARG","Arg Juniors","Huracan",2024-08-25
"48","ARG","San Lorenzo","Talleres",2024-08-25
"49","ARG","River Plate","Newells OB",2024-08-25
"50","ARG","Tigre","Union",2024-08-25
"51","ARG","Racing Club","Independiente",2024-08-25
"52","ARG","Rosario Central","Atletico Tucuman",2024-08-25
"53","ARG","Independiente Rivadavia","Platense",2024-08-25
"54","ARG","Estudiantes","Boca Juniors",2024-08-25
"55","ARG","Belgrano","Gimnasia–LP",2024-08-25
"56","ARG","Central Cordoba","Banfield",2024-08-25
"57","ARG","Independiente","River Plate",2024-09-01
"58","ARG","Boca Juniors","Rosario Central",2024-09-01
"59","ARG","Newells OB","Belgrano",2024-09-01
"60","ARG","Banfield","Instituto",2024-09-01
"61","ARG","Gimnasia–LP","Arg Juniors",2024-09-01
"62","ARG","Huracan","Tigre",2024-09-01
"63","ARG","Talleres","Estudiantes",2024-09-01
"64","ARG","Atletico Tucuman","Racing Club",2024-09-01
"65","ARG","Union","Deportivo Riestra",2024-09-01
"66","ARG","Sarmiento","Lanus",2024-09-01
"67","ARG","Platense","San Lorenzo",2024-09-01
"68","ARG","Velez Sarsfield","Independiente Rivadavia",2024-09-01
"69","ARG","Godoy Cruz","Central Cordoba",2024-09-01
"70","ARG","Defensa Justicia","Barracas Central",2024-09-01
"71","ARG","Rosario Central","Talleres",2024-09-15
"72","ARG","Lanus","Union",2024-09-15
"73","ARG","Barracas Central","Banfield",2024-09-15
"74","ARG","Racing Club","Boca Juniors",2024-09-15
"75","ARG","Godoy Cruz","Sarmiento",2024-09-15
"76","ARG","Central Cordoba","Instituto",2024-09-15
"77","ARG","Arg Juniors","Newells OB",2024-09-15
"78","ARG","River Plate","Atletico Tucuman",2024-09-15
"79","ARG","Tigre","Gimnasia–LP",2024-09-15
"80","ARG","Estudiantes","Platense",2024-09-15
"81","ARG","Belgrano","Independiente",2024-09-15
"82","ARG","Independiente Rivadavia","Defensa Justicia",2024-09-15
"83","ARG","San Lorenzo","Velez Sarsfield",2024-09-15
"84","ARG","Deportivo Riestra","Huracan",2024-09-15
"85","ARG","Defensa Justicia","San Lorenzo",2024-09-22
"86","ARG","Sarmiento","Central Cordoba",2024-09-22
"87","ARG","Newells OB","Tigre",2024-09-22
"88","ARG","Gimnasia–LP","Deportivo Riestra",2024-09-22
"89","ARG","Banfield","Independiente Rivadavia",2024-09-22
"90","ARG","Independiente","Arg Juniors",2024-09-22
"91","ARG","Platense","Rosario Central",2024-09-22
"92","ARG","Huracan","Lanus",2024-09-22
"93","ARG","Boca Juniors","River Plate",2024-09-22
"94","ARG","Instituto","Barracas Central",2024-09-22
"95","ARG","Velez Sarsfield","Estudiantes",2024-09-22
"96","ARG","Atletico Tucuman","Belgrano",2024-09-22
"97","ARG","Union","Godoy Cruz",2024-09-22
"98","ARG","Talleres","Racing Club",2024-09-22
"99","ARG","Deportivo Riestra","Newells OB",2024-09-29
"100","ARG","San Lorenzo","Banfield",2024-09-29
"101","ARG","Rosario Central","Velez Sarsfield",2024-09-29
"102","ARG","Estudiantes","Defensa Justicia",2024-09-29
"103","ARG","Racing Club","Platense",2024-09-29
"104","ARG","Independiente Rivadavia","Instituto",2024-09-29
"105","ARG","Godoy Cruz","Huracan",2024-09-29
