"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","Home_xG","Away_xG","HY","AY","CS"
"1","MLS",2024-10-22,"CF Montreal","Atlanta Utd",2,2,"D",1.6,1.3,"Joe Dickerson","2024-10-22-CF Montreal-Atlanta Utd","2-2"
"2","MLS",2024-10-23,"Vancouver Wcaps","Portland Timbers",5,0,"H",2.3,0.7,"Rubiel Vazquez","2024-10-23-Vancouver Wcaps-Portland Timbers","5-0"
"3","MLS",2024-10-25,"Inter Miami","Atlanta Utd",2,1,"H",3.3,1,"Allen Chapman","2024-10-25-Inter Miami-Atlanta Utd","2-1"
"4","MLS",2024-10-26,"LA Galaxy","Colorado Rapids",5,0,"H",2.4,0,"Lukasz Szpala","2024-10-26-LA Galaxy-Colorado Rapids","5-0"
"5","MLS",2024-10-27,"LAFC","Vancouver Wcaps",2,1,"H",1.6,1.1,"Jair Marrufo","2024-10-27-LAFC-Vancouver Wcaps","2-1"
"6","MLS",2024-10-27,"Orlando City","Charlotte",2,0,"H",1.6,0.8,"Drew Fischer","2024-10-27-Orlando City-Charlotte","2-0"
"7","MLS",2024-10-28,"Seattle Sounders","Houston Dynamo",0,0,"D",1,0.5,"Ted Unkel","2024-10-28-Seattle Sounders-Houston Dynamo","0-0"
"8","MLS",2024-10-28,"FC Cincinnati","NYCFC",1,0,"H",3.3,0.3,"Serhiy Boyko","2024-10-28-FC Cincinnati-NYCFC","1-0"
"9","MLS",2024-10-29,"Columbus Crew","NY Red Bulls",0,1,"A",1.1,0.9,"Tim Ford","2024-10-29-Columbus Crew-NY Red Bulls","0-1"
"10","MLS",2024-10-29,"Real Salt Lake","Minnesota Utd",0,0,"D",1.3,1.2,"Pierre-Luc Lauziere","2024-10-29-Real Salt Lake-Minnesota Utd","0-0"
"11","MLS",2024-11-01,"Charlotte","Orlando City",0,0,"D",1.2,0.3,"Guido Gonzalez Jr.","2024-11-01-Charlotte-Orlando City","0-0"
"12","MLS",2024-11-01,"Colorado Rapids","LA Galaxy",1,4,"A",0.4,1.7,"Victor Rivas","2024-11-01-Colorado Rapids-LA Galaxy","1-4"
