"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","Home_xG","Away_xG","HY","AY","HR","AR","HST","AST","HCO","ACO","HF","AF","CS","Referee","matchid"
"1","ARG",2024-05-10,"Sarmiento","Instituto",1,2,"A",1.1,1.2,3,4,0,0,5,3,7,3,12,10,"1-2","","2024-05-10-Sarmiento-Instituto"
"2","ARG",2024-05-10,"Arg Juniors","Rosario Central",3,2,"H",1.4,0.7,1,4,0,0,8,4,6,0,10,12,"3-2","","2024-05-10-Arg Juniors-Rosario Central"
"3","ARG",2024-05-10,"Newells OB","Platense",2,0,"H",1.2,0.5,3,4,0,0,8,1,1,5,13,17,"2-0","","2024-05-10-Newells OB-Platense"
"4","ARG",2024-05-11,"Huracan","Defensa Justicia",3,1,"H",1.6,0.5,1,6,0,1,5,4,6,5,13,14,"3-1","","2024-05-11-Huracan-Defensa Justicia"
"5","ARG",2024-05-11,"Godoy Cruz","Barracas Central",0,1,"A",1.9,0.6,0,1,0,0,5,4,7,5,15,6,"0-1","","2024-05-11-Godoy Cruz-Barracas Central"
"6","ARG",2024-05-11,"Independiente","Talleres",1,3,"A",0.4,1.3,7,4,1,0,5,5,5,5,15,14,"1-3","","2024-05-11-Independiente-Talleres"
"7","ARG",2024-05-11,"River Plate","Central Cordoba",3,0,"H",2.6,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3-0","","2024-05-11-River Plate-Central Cordoba"
"8","ARG",2024-05-12,"Tigre","Estudiantes–LP",0,1,"A",0.9,0.5,2,1,0,0,2,3,8,2,11,14,"0-1","","2024-05-12-Tigre-Estudiantes–LP"
"9","ARG",2024-05-12,"Deportivo Riestra","San Lorenzo",1,0,"H",0.5,0.3,5,4,0,0,3,0,3,4,13,12,"1-0","","2024-05-12-Deportivo Riestra-San Lorenzo"
"10","ARG",2024-05-12,"Lanus","Ind. Rivadavia",0,2,"A",0.8,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0-2","","2024-05-12-Lanus-Ind. Rivadavia"
