"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","Home_xG","Away_xG","HY","AY","HR","AR","HST","AST","HCO","ACO","HF","AF","CS","Referee","matchid"
"1","BRA",2024-04-13,"Internacional","Bahia",2,1,"H",1.9,0.7,5,3,0,0,9,4,6,3,21,13,"2-1","","2024-04-13-Internacional-Bahia"
"2","BRA",2024-04-13,"Criciuma","Juventude",1,1,"D",0.7,0.6,4,6,0,0,3,4,0,4,11,15,"1-1","","2024-04-13-Criciuma-Juventude"
"3","BRA",2024-04-13,"Sao Paulo","Fortaleza",1,2,"A",0.5,0.4,2,3,0,0,5,2,11,4,10,14,"1-2","","2024-04-13-Sao Paulo-Fortaleza"
"4","BRA",2024-04-13,"Fluminense","RB Bragantino",2,2,"D",1.8,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2-2","","2024-04-13-Fluminense-RB Bragantino"
"5","BRA",2024-04-14,"Vasco da Gama","Gremio",2,1,"H",0.9,1.2,4,0,0,0,3,2,3,5,19,10,"2-1","Flavio Rodrigues de Souza","2024-04-14-Vasco da Gama-Gremio"
"6","BRA",2024-04-14,"Ath Paranaense","Cuiaba",4,0,"H",2,0.3,0,3,0,0,9,0,7,0,16,9,"4-0","","2024-04-14-Ath Paranaense-Cuiaba"
"7","BRA",2024-04-14,"Atl Goianiense","Flamengo",1,2,"A",1.6,1.2,5,3,2,0,4,1,4,4,12,12,"1-2","","2024-04-14-Atl Goianiense-Flamengo"
"8","BRA",2024-04-14,"Corinthians","Atletico Mineiro",0,0,"D",0.5,0.3,8,6,0,1,2,3,3,3,16,14,"0-0","","2024-04-14-Corinthians-Atletico Mineiro"
"9","BRA",2024-04-14,"Cruzeiro","Botafogo RJ",3,2,"H",1.6,2,4,3,0,1,5,3,6,3,12,11,"3-2","","2024-04-14-Cruzeiro-Botafogo RJ"
"10","BRA",2024-04-14,"Vitoria","Palmeiras",0,1,"A",1.4,0.8,3,5,0,0,5,4,3,9,12,15,"0-1","","2024-04-14-Vitoria-Palmeiras"
"11","BRA",2024-06-19,"Atl Goianiense","Criciuma",1,2,"A",0.6,1.4,1,1,1,0,1,7,5,1,10,11,"1-2","","2024-06-19-Atl Goianiense-Criciuma"
