"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","Home_xG","Away_xG","HY","AY","CS"
"185","MEX",2023-11-11,"UANL","América",0,0,"D",0.7,1,"Diego Montaño","2023-11-11-UANL-América","0-0"
"186","MEX",2023-11-12,"Cruz Azul","Puebla",1,2,"A",2.2,1.3,"Luis Enrique Santander","2023-11-12-Cruz Azul-Puebla","1-2"
"187","MEX",2023-11-12,"León","FC Juárez",2,1,"H",2,0.3,"Ismael Lopez","2023-11-12-León-FC Juárez","2-1"
"188","MEX",2024-04-26,"Puebla","América",1,2,"A",0.4,0.9,"Guillermo Pacheco","2024-04-26-Puebla-América","1-2"
"189","MEX",2024-04-26,"Querétaro","UNAM",1,1,"D",1.9,1.1,"Ismael Lopez","2024-04-26-Querétaro-UNAM","1-1"
"190","MEX",2024-04-27,"FC Juárez","León",1,1,"D",0.9,1.7,"Adonai Escobedo","2024-04-27-FC Juárez-León","1-1"
"191","MEX",2024-04-27,"UANL","Tijuana",4,1,"H",3.1,0.8,"Fernando Hernández","2024-04-27-UANL-Tijuana","4-1"
"192","MEX",2024-04-27,"Toluca","Cruz Azul",0,1,"A",2.2,0.8,"Fernando Guerrero","2024-04-27-Toluca-Cruz Azul","0-1"
"193","MEX",2024-04-27,"Pachuca","Mazatlán",1,1,"D",1.5,0.9,"Luis Enrique Santander","2024-04-27-Pachuca-Mazatlán","1-1"
"194","MEX",2024-04-27,"Atlas","Guadalajara",0,1,"A",0.4,1.2,"Marco Antonio Ortíz","2024-04-27-Atlas-Guadalajara","0-1"
"195","MEX",2024-04-28,"Santos","Atlético",0,3,"A",1.6,1.6,"Iván López","2024-04-28-Santos-Atlético","0-3"
"196","MEX",2024-04-28,"Necaxa","Monterrey",2,5,"A",1.2,1.5,"Jesus Lopez","2024-04-28-Necaxa-Monterrey","2-5"
"197","MEX",2023-07-07,"Puebla","Santos",2,3,"A",1.5,3.2,"Brian Gonzalez","2023-07-07-Puebla-Santos","2-3"
"198","MEX",2023-07-07,"Necaxa","Tijuana",1,1,"D",1.2,1.3,"Oscar Mejia","2023-07-07-Necaxa-Tijuana","1-1"
"199","MEX",2023-07-08,"FC Juárez","UANL",1,1,"D",1.1,1.9,"Jesus Lopez","2023-07-08-FC Juárez-UANL","1-1"
"200","MEX",2023-07-08,"Cruz Azul","Toluca",0,2,"A",0.5,2.1,"Ismael Lopez","2023-07-08-Cruz Azul-Toluca","0-2"
"201","MEX",2023-07-08,"Guadalajara","Atlético",3,1,"H",1.3,1.2,"Víctor Cáceres","2023-07-08-Guadalajara-Atlético","3-1"
"202","MEX",2023-07-09,"UNAM","Mazatlán",0,0,"D",1.1,0.8,"Óscar Macias","2023-07-09-UNAM-Mazatlán","0-0"
"203","MEX",2023-07-09,"Monterrey","Atlas",1,0,"H",0.8,0.8,"Edgar Morales","2023-07-09-Monterrey-Atlas","1-0"
"204","MEX",2023-07-10,"León","Pachuca",4,0,"H",2.3,1.4,"Jorge Camacho","2023-07-10-León-Pachuca","4-0"
"205","MEX",2023-09-20,"Querétaro","América",1,2,"A",0.8,1,"Diego Montaño","2023-09-20-Querétaro-América","1-2"
"206","MEX",2024-01-19,"Puebla","Necaxa",1,2,"A",1.8,1.2,"Vicente Arce","2024-01-19-Puebla-Necaxa","1-2"
"207","MEX",2024-01-19,"FC Juárez","Cruz Azul",0,0,"D",0.4,2,"Erick Miranda","2024-01-19-FC Juárez-Cruz Azul","0-0"
"208","MEX",2024-01-19,"Atlético","UNAM",3,1,"H",1.9,2.6,"Iván López","2024-01-19-Atlético-UNAM","3-1"
"209","MEX",2024-01-20,"Toluca","Mazatlán",4,1,"H",2.7,2,"Jorge Camacho","2024-01-20-Toluca-Mazatlán","4-1"
"210","MEX",2024-01-20,"América","Querétaro",2,0,"H",2.3,0.2,"Maximiliano Quintero","2024-01-20-América-Querétaro","2-0"
"211","MEX",2024-01-20,"Atlas","Tijuana",0,0,"D",1.6,0.3,"Óscar Macias","2024-01-20-Atlas-Tijuana","0-0"
"212","MEX",2024-01-21,"UANL","Guadalajara",1,0,"H",0.4,0.9,"Guillermo Pacheco","2024-01-21-UANL-Guadalajara","1-0"
"213","MEX",2024-01-21,"Santos","Monterrey",0,2,"A",1.2,0.9,"Edgar Morales","2024-01-21-Santos-Monterrey","0-2"
