"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","Home_xG","Away_xG","HY","AY","CS"
"56","MEX",2023-09-29,"Atlético","Cruz Azul",1,2,"A",1.9,1.2,"Adonai Escobedo","2023-09-29-Atlético-Cruz Azul","1-2"
"57","MEX",2023-09-30,"Pachuca","Necaxa",1,1,"D",1.9,1,"Charles Terrazas","2023-09-30-Pachuca-Necaxa","1-1"
"58","MEX",2023-09-30,"Mazatlán","UANL",2,3,"A",1.8,2,"Jesus Lopez","2023-09-30-Mazatlán-UANL","2-3"
"59","MEX",2023-09-30,"América","UNAM",1,0,"H",1.9,0.6,"Víctor Cáceres","2023-09-30-América-UNAM","1-0"
"60","MEX",2023-10-01,"Toluca","Guadalajara",1,1,"D",1.7,0.7,"Daniel Quintero","2023-10-01-Toluca-Guadalajara","1-1"
"61","MEX",2023-11-08,"Monterrey","Santos",3,0,"H",2,0.1,"Fernando Guerrero","2023-11-08-Monterrey-Santos","3-0"
"62","MEX",2024-03-01,"Querétaro","Santos",0,1,"A",0.3,1.1,"Brian Gonzalez","2024-03-01-Querétaro-Santos","0-1"
"63","MEX",2024-03-01,"Atlético","Puebla",4,0,"H",1.9,0.1,"Vicente Arce","2024-03-01-Atlético-Puebla","4-0"
"64","MEX",2024-03-01,"Mazatlán","Necaxa",2,1,"H",2.2,1.4,"Marco Antonio Ortíz","2024-03-01-Mazatlán-Necaxa","2-1"
"65","MEX",2024-03-02,"Toluca","UANL",2,1,"H",2.7,0.5,"Adonai Escobedo","2024-03-02-Toluca-UANL","2-1"
"66","MEX",2024-03-02,"Pachuca","FC Juárez",3,2,"H",0.9,0.5,"Abraham Quirarte","2024-03-02-Pachuca-FC Juárez","3-2"
"67","MEX",2024-03-02,"Cruz Azul","Guadalajara",3,0,"H",1.2,0.3,"César Arturo Ramos","2024-03-02-Cruz Azul-Guadalajara","3-0"
"68","MEX",2024-03-02,"Atlas","América",1,5,"A",1,4.9,"Fernando Guerrero","2024-03-02-Atlas-América","1-5"
"69","MEX",2024-03-03,"Tijuana","León",1,1,"D",1.7,1.1,"Guillermo Pacheco","2024-03-03-Tijuana-León","1-1"
"70","MEX",2024-03-03,"Monterrey","UNAM",3,0,"H",2.6,0.4,"Víctor Cáceres","2024-03-03-Monterrey-UNAM","3-0"
"71","MEX",2023-09-26,"Guadalajara","Mazatlán",1,3,"A",0.5,1.5,"Edgar Morales","2023-09-26-Guadalajara-Mazatlán","1-3"
"72","MEX",2023-10-03,"Puebla","Monterrey",1,1,"D",0.6,2.2,"Erick Miranda","2023-10-03-Puebla-Monterrey","1-1"
"73","MEX",2023-10-03,"América","Pachuca",4,0,"H",2.9,0.7,"Marco Antonio Ortíz","2023-10-03-América-Pachuca","4-0"
"74","MEX",2023-10-04,"Necaxa","Cruz Azul",1,3,"A",1.3,2.2,"Fernando Guerrero","2023-10-04-Necaxa-Cruz Azul","1-3"
"75","MEX",2023-10-04,"UNAM","Querétaro",4,0,"H",1.9,0.2,"Luis Enrique Santander","2023-10-04-UNAM-Querétaro","4-0"
"76","MEX",2023-10-04,"UANL","Toluca",2,2,"D",0.8,1.1,"César Arturo Ramos","2023-10-04-UANL-Toluca","2-2"
"77","MEX",2023-10-04,"Santos","Tijuana",2,1,"H",2.1,2,"Ismael Lopez","2023-10-04-Santos-Tijuana","2-1"
"78","MEX",2023-10-24,"León","Atlas",1,1,"D",1.2,1.1,"Diego Montaño","2023-10-24-León-Atlas","1-1"
"79","MEX",2023-10-25,"FC Juárez","Atlético",3,2,"H",0.7,0.7,"Oscar Mejia","2023-10-25-FC Juárez-Atlético","3-2"
"80","MEX",2024-03-08,"Puebla","Atlas",2,2,"D",1.9,0.7,"Luis Enrique Santander","2024-03-08-Puebla-Atlas","2-2"
"81","MEX",2024-03-08,"FC Juárez","Toluca",1,1,"D",0.5,0.7,"Fernando Guerrero","2024-03-08-FC Juárez-Toluca","1-1"
"82","MEX",2024-03-08,"Necaxa","Atlético",3,1,"H",2.2,1.1,"Fernando Hernández","2024-03-08-Necaxa-Atlético","3-1"
"83","MEX",2024-03-09,"Guadalajara","León",1,2,"A",1.7,1.5,"Daniel Quintero","2024-03-09-Guadalajara-León","1-2"
"84","MEX",2024-03-09,"Santos","Cruz Azul",3,0,"H",1.2,1.5,"Adonai Escobedo","2024-03-09-Santos-Cruz Azul","3-0"
"85","MEX",2024-03-09,"Pachuca","Querétaro",1,2,"A",1.7,1.2,"Katia García","2024-03-09-Pachuca-Querétaro","1-2"
"86","MEX",2024-03-09,"América","UANL",2,0,"H",1,1.8,"Víctor Cáceres","2024-03-09-América-UANL","2-0"
"87","MEX",2024-03-10,"UNAM","Tijuana",3,3,"D",1,2.9,"Marco Antonio Ortíz","2024-03-10-UNAM-Tijuana","3-3"
"88","MEX",2024-03-10,"Monterrey","Mazatlán",2,1,"H",1.4,2.1,"César Arturo Ramos","2024-03-10-Monterrey-Mazatlán","2-1"
"89","MEX",2023-10-06,"Mazatlán","América",1,2,"A",0.5,2.3,"Oscar Mejia","2023-10-06-Mazatlán-América","1-2"
"90","MEX",2023-10-07,"Monterrey","FC Juárez",3,1,"H",2,1.5,"Daniel Quintero","2023-10-07-Monterrey-FC Juárez","3-1"
"91","MEX",2023-10-07,"Pachuca","UANL",1,1,"D",1.1,2.1,"Ismael Lopez","2023-10-07-Pachuca-UANL","1-1"
"92","MEX",2023-10-07,"Guadalajara","Atlas",4,1,"H",2,0.6,"Adonai Escobedo","2023-10-07-Guadalajara-Atlas","4-1"
"93","MEX",2023-10-07,"Cruz Azul","UNAM",1,4,"A",2,1.5,"César Arturo Ramos","2023-10-07-Cruz Azul-UNAM","1-4"
"94","MEX",2023-10-08,"Toluca","Querétaro",3,1,"H",3.6,1.1,"Fernando Hernández","2023-10-08-Toluca-Querétaro","3-1"
"95","MEX",2023-10-08,"Necaxa","Puebla",1,2,"A",1.7,1.1,"Guillermo Pacheco","2023-10-08-Necaxa-Puebla","1-2"
"96","MEX",2023-10-08,"Tijuana","Atlético",2,1,"H",1.9,2.1,"Luis Enrique Santander","2023-10-08-Tijuana-Atlético","2-1"
"97","MEX",2023-10-08,"Santos","León",0,2,"A",0.3,2.1,"Marco Antonio Ortíz","2023-10-08-Santos-León","0-2"
"98","MEX",2024-03-15,"Querétaro","FC Juárez",1,0,"H",0.4,1,"Luis Enrique Santander","2024-03-15-Querétaro-FC Juárez","1-0"
"99","MEX",2024-03-15,"Tijuana","Santos",2,2,"D",3.2,1.4,"Daniel Quintero","2024-03-15-Tijuana-Santos","2-2"
"100","MEX",2024-03-16,"Cruz Azul","Necaxa",1,2,"A",1.7,1.5,"Fernando Guerrero","2024-03-16-Cruz Azul-Necaxa","1-2"
"101","MEX",2024-03-16,"León","Puebla",2,1,"H",2.6,1.2,"Karen Hernández","2024-03-16-León-Puebla","2-1"
"102","MEX",2024-03-16,"UANL","Mazatlán",5,1,"H",1.9,1.5,"Oscar Mejia","2024-03-16-UANL-Mazatlán","5-1"
"103","MEX",2024-03-16,"Guadalajara","América",0,0,"D",0.6,1,"Fernando Hernández","2024-03-16-Guadalajara-América","0-0"
"104","MEX",2024-03-17,"Atlas","Monterrey",1,2,"A",2,0.8,"Ismael Lopez","2024-03-17-Atlas-Monterrey","1-2"
"105","MEX",2024-03-17,"Toluca","UNAM",3,0,"H",3.1,0.6,"César Arturo Ramos","2024-03-17-Toluca-UNAM","3-0"
"106","MEX",2024-03-17,"Atlético","Pachuca",2,1,"H",1.1,0.6,"Víctor Cáceres","2024-03-17-Atlético-Pachuca","2-1"
"107","MEX",2023-10-20,"FC Juárez","Pachuca",0,1,"A",1.7,1.4,"Fernando Guerrero","2023-10-20-FC Juárez-Pachuca","0-1"
"108","MEX",2023-10-20,"Atlas","Mazatlán",1,3,"A",2.5,1.7,"Marco Antonio Ortíz","2023-10-20-Atlas-Mazatlán","1-3"
"109","MEX",2023-10-20,"Puebla","Guadalajara",0,2,"A",1.5,1.1,"Víctor Cáceres","2023-10-20-Puebla-Guadalajara","0-2"
"110","MEX",2023-10-21,"León","Toluca",1,0,"H",1.2,1.3,"Oscar Mejia","2023-10-21-León-Toluca","1-0"
"111","MEX",2023-10-21,"América","Santos",4,3,"H",3.1,0.9,"César Arturo Ramos","2023-10-21-América-Santos","4-3"
"112","MEX",2023-10-21,"Querétaro","Tijuana",1,0,"H",1.6,0.6,"Óscar Macias","2023-10-21-Querétaro-Tijuana","1-0"
"113","MEX",2023-10-21,"UANL","Cruz Azul",2,1,"H",0.9,0.6,"Edgar Morales","2023-10-21-UANL-Cruz Azul","2-1"
"114","MEX",2023-10-22,"UNAM","Monterrey",0,1,"A",1,0.3,"Ismael Lopez","2023-10-22-UNAM-Monterrey","0-1"
"115","MEX",2023-10-22,"Atlético","Necaxa",4,0,"H",1,0.5,"Fernando Hernández","2023-10-22-Atlético-Necaxa","4-0"
"116","MEX",2024-03-29,"Puebla","UANL",2,3,"A",2.1,2.3,"Jorge Camacho","2024-03-29-Puebla-UANL","2-3"
"117","MEX",2024-03-29,"Mazatlán","Tijuana",2,0,"H",1,0.4,"Fernando Guerrero","2024-03-29-Mazatlán-Tijuana","2-0"
"118","MEX",2024-03-29,"América","Atlético",2,1,"H",0.9,1.9,"Jesus Lopez","2024-03-29-América-Atlético","2-1"
"119","MEX",2024-03-30,"Pachuca","Toluca",2,3,"A",1.6,1.6,"Daniel Quintero","2024-03-30-Pachuca-Toluca","2-3"
"120","MEX",2024-03-30,"Monterrey","Guadalajara",0,2,"A",1.1,1,"Adonai Escobedo","2024-03-30-Monterrey-Guadalajara","0-2"
"121","MEX",2024-03-30,"UNAM","Cruz Azul",0,0,"D",0.9,0.4,"Fernando Hernández","2024-03-30-UNAM-Cruz Azul","0-0"
"122","MEX",2024-03-31,"Atlas","Querétaro",2,3,"A",1.8,1.5,"César Arturo Ramos","2024-03-31-Atlas-Querétaro","2-3"
"123","MEX",2024-03-31,"Necaxa","León",1,2,"A",1.3,2,"Víctor Cáceres","2024-03-31-Necaxa-León","1-2"
"124","MEX",2024-03-31,"FC Juárez","Santos",2,1,"H",2.1,0.4,"Erick Miranda","2024-03-31-FC Juárez-Santos","2-1"
"125","MEX",2023-10-27,"Necaxa","UNAM",1,0,"H",0.9,0.5,"Abraham Quirarte","2023-10-27-Necaxa-UNAM","1-0"
"126","MEX",2023-10-27,"Mazatlán","Querétaro",3,0,"H",1.8,1.9,"Luis Enrique Santander","2023-10-27-Mazatlán-Querétaro","3-0"
"127","MEX",2023-10-28,"Cruz Azul","León",1,0,"H",1.4,0.5,"Brian Gonzalez","2023-10-28-Cruz Azul-León","1-0"
"128","MEX",2023-10-28,"Pachuca","Puebla",1,1,"D",2.5,1.2,"Jorge Camacho","2023-10-28-Pachuca-Puebla","1-1"
"129","MEX",2023-10-28,"Guadalajara","UANL",0,4,"A",0.8,1.3,"Fernando Hernández","2023-10-28-Guadalajara-UANL","0-4"
"130","MEX",2023-10-28,"Monterrey","América",0,3,"A",0.7,1,"Adonai Escobedo","2023-10-28-Monterrey-América","0-3"
"131","MEX",2023-10-29,"Toluca","Atlético",3,1,"H",1.5,0.9,"César Arturo Ramos","2023-10-29-Toluca-Atlético","3-1"
"132","MEX",2023-10-29,"Santos","FC Juárez",5,1,"H",1.9,0.9,"Diego Montaño","2023-10-29-Santos-FC Juárez","5-1"
"133","MEX",2023-10-29,"Tijuana","Atlas",2,0,"H",0.3,0.7,"Daniel Quintero","2023-10-29-Tijuana-Atlas","2-0"
"134","MEX",2024-04-05,"Mazatlán","UNAM",0,4,"A",1,0.9,"Víctor Cáceres","2024-04-05-Mazatlán-UNAM","0-4"
"135","MEX",2024-04-05,"Tijuana","Necaxa",2,3,"A",1,1.6,"Ismael Lopez","2024-04-05-Tijuana-Necaxa","2-3"
"136","MEX",2024-04-06,"León","Querétaro",0,2,"A",1,2,"Adonai Escobedo","2024-04-06-León-Querétaro","0-2"
"137","MEX",2024-04-06,"UANL","Pachuca",0,3,"A",0.9,1,"Fernando Hernández","2024-04-06-UANL-Pachuca","0-3"
"138","MEX",2024-04-06,"Guadalajara","Puebla",3,2,"H",2.2,1.3,"Fernando Guerrero","2024-04-06-Guadalajara-Puebla","3-2"
"139","MEX",2024-04-06,"Santos","América",1,1,"D",0.9,1.9,"Luis Enrique Santander","2024-04-06-Santos-América","1-1"
"140","MEX",2024-04-06,"Cruz Azul","Monterrey",2,1,"H",0.9,0.1,"Marco Antonio Ortíz","2024-04-06-Cruz Azul-Monterrey","2-1"
"141","MEX",2024-04-07,"Toluca","Atlas",4,1,"H",1.2,0.5,"Karen Hernández","2024-04-07-Toluca-Atlas","4-1"
"142","MEX",2024-04-08,"Atlético","FC Juárez",2,3,"A",0.6,1,"Oscar Mejia","2024-04-08-Atlético-FC Juárez","2-3"
"143","MEX",2023-10-31,"Toluca","Puebla",0,1,"A",1.2,1.4,"Óscar Macias","2023-10-31-Toluca-Puebla","0-1"
"144","MEX",2023-10-31,"Querétaro","Guadalajara",1,2,"A",2,3.3,"César Arturo Ramos","2023-10-31-Querétaro-Guadalajara","1-2"
"145","MEX",2023-10-31,"León","UNAM",1,1,"D",1.3,0.9,"Adonai Escobedo","2023-10-31-León-UNAM","1-1"
"146","MEX",2023-10-31,"Monterrey","Necaxa",3,0,"H",1,0.2,"Oscar Mejia","2023-10-31-Monterrey-Necaxa","3-0"
"147","MEX",2023-11-01,"Cruz Azul","FC Juárez",2,0,"H",1.2,0.2,"Daniel Quintero","2023-11-01-Cruz Azul-FC Juárez","2-0"
"148","MEX",2023-11-01,"Atlas","Pachuca",0,2,"A",2,1.4,"Luis Enrique Santander","2023-11-01-Atlas-Pachuca","0-2"
"149","MEX",2023-11-01,"Mazatlán","Santos",3,1,"H",1.9,1.4,"Fernando Hernández","2023-11-01-Mazatlán-Santos","3-1"
"150","MEX",2023-11-01,"Tijuana","UANL",2,0,"H",1,0.8,"Marco Antonio Ortíz","2023-11-01-Tijuana-UANL","2-0"
"151","MEX",2023-11-01,"Atlético","América",0,1,"A",0.8,1.1,"Edgar Morales","2023-11-01-Atlético-América","0-1"
"152","MEX",2024-04-12,"Querétaro","Mazatlán",0,2,"A",0.6,1.9,"Marco Antonio Ortíz","2024-04-12-Querétaro-Mazatlán","0-2"
"153","MEX",2024-04-12,"Puebla","Cruz Azul",0,1,"A",1,2.4,"Katia García","2024-04-12-Puebla-Cruz Azul","0-1"
"154","MEX",2024-04-12,"Necaxa","Santos",2,0,"H",2,0.1,"Fernando Hernández","2024-04-12-Necaxa-Santos","2-0"
"155","MEX",2024-04-13,"Pachuca","Guadalajara",0,1,"A",0.9,0.4,"Jesus Lopez","2024-04-13-Pachuca-Guadalajara","0-1"
"156","MEX",2024-04-13,"América","Toluca",5,1,"H",4.8,1.1,"Adonai Escobedo","2024-04-13-América-Toluca","5-1"
"157","MEX",2024-04-13,"Monterrey","UANL",3,3,"D",2.6,1.8,"César Arturo Ramos","2024-04-13-Monterrey-UANL","3-3"
"158","MEX",2024-04-14,"UNAM","León",1,0,"H",1.5,0.5,"Daniel Quintero","2024-04-14-UNAM-León","1-0"
"159","MEX",2024-04-14,"Atlas","Atlético",2,1,"H",1.3,0.7,"Víctor Cáceres","2024-04-14-Atlas-Atlético","2-1"
"160","MEX",2024-04-14,"FC Juárez","Tijuana",0,1,"A",0.8,0.8,"Luis Enrique Santander","2024-04-14-FC Juárez-Tijuana","0-1"
"161","MEX",2023-11-03,"Puebla","León",5,4,"H",1.4,3.1,"Edgar Morales","2023-11-03-Puebla-León","5-4"
