"","mls_division","mls_teams","mls_avg_HG","mls_home_as","mls_home_ds"
"1","MLS","Atlanta Utd","1.7299","1.6817","1.1158"
"2","MLS","Austin","1.7299","1.3007","1.0228"
"3","MLS","CF Montreal","1.7299","1.5765","1.0501"
"4","MLS","Charlotte","1.7299","1.2043","0.6016"
"5","MLS","Crew","1.7299","1.1561","0.4332"
"6","MLS","D.C. United","1.7299","1.5119","1.4439"
"7","MLS","Dynamo FC","1.7299","1.997","0.6563"
"8","MLS","FC Cincinnati","1.7299","1.2525","0.9025"
"9","MLS","FC Dallas","1.7299","1.3007","0.9626"
"10","MLS","Fire","1.7299","1.6379","1.2033"
"11","MLS","Inter Miami","1.7299","1.2087","1.0501"
"12","MLS","LA Galaxy","1.7299","2.575","1.0501"
"13","MLS","LAFC","1.7299","2.7458","0.7821"
"14","MLS","Minnesota Utd","1.7299","2.1021","0.9189"
"15","MLS","Nashville","1.7299","1.4933","0.8423"
"16","MLS","NE Revolution","1.7299","1.1561","1.3838"
"17","MLS","NY Red Bulls","1.7299","1.0983","0.5054"
"18","MLS","NYCFC","1.7299","1.5897","0.8423"
"19","MLS","Orlando City","1.7299","1.997","0.9189"
"20","MLS","Philadelphia","1.7299","1.6817","1.1814"
"21","MLS","Portland Timbers","1.7299","1.3007","1.083"
"22","MLS","Rapids","1.7299","1.8787","0.9025"
"23","MLS","RSL","1.7299","1.997","0.7876"
"24","MLS","Seattle","1.7299","1.3138","0.5251"
"25","MLS","SJ Earthquakes","1.7299","0.8671","1.4439"
"26","MLS","Sporting KC","1.7299","1.5897","1.5041"
"27","MLS","St. Louis","1.7299","1.0227","0.8886"
"28","MLS","Toronto FC","1.7299","1.3007","1.2634"
"29","MLS","Vancouver Wcaps","1.7299","2.1838","1.1231"
"30","ARG","Arg Juniors","0.2434","8.2169","6.1958"
"31","ARG","Atletico Tucuman","0.2434","4.1085","4.1305"
"32","ARG","Banfield","0.2434","6.1627","3.0979"
"33","ARG","Barracas Central","0.2434","2.0542","9.2937"
"34","ARG","Belgrano","0.2434","9.5864","10.3263"
"35","ARG","Boca Juniors","0.2434","2.0542","0"
"36","ARG","Central Cordoba","0.2434","8.2169","24.7831"
"37","ARG","Defensa Justicia","0.2434","2.0542","3.0979"
"38","ARG","Deportivo Riestra","0.2434","4.1085","4.1305"
"39","ARG","Estudiantes","0.2434","6.1627","3.0979"
"40","ARG","Gimnasia–LP","0.2434","10.9559","4.1305"
"41","ARG","Godoy Cruz","0.2434","2.0542","6.1958"
"42","ARG","Huracan","0.2434","6.8474","2.0653"
"43","ARG","Independiente","0.2434","5.478","10.3263"
"44","ARG","Independiente Rivadavia","0.2434","0","3.0979"
"45","ARG","Instituto","0.2434","6.1627","6.1958"
"46","ARG","Lanus","0.2434","5.478","6.1958"
"47","ARG","Newells OB","0.2434","4.1085","4.1305"
"48","ARG","Platense","0.2434","2.0542","0"
"49","ARG","Racing Club","0.2434","8.2169","0"
"50","ARG","River Plate","0.2434","12.3254","2.0653"
"51","ARG","Rosario Central","0.2434","4.1085","6.1958"
"52","ARG","San Lorenzo","0.2434","2.0542","6.1958"
"53","ARG","Sarmiento","0.2434","4.1085","6.1958"
"54","ARG","Talleres","0.2434","8.2169","3.0979"
"55","ARG","Tigre","0.2434","1.3695","12.3916"
"56","ARG","Union","0.2434","6.8474","2.0653"
"57","ARG","Velez Sarsfield","0.2434","4.1085","3.0979"
