"","mls_division","mls_teams","mls_avg_AG","mls_away_as","mls_away_ds"
"1","MLS","Atlanta Utd","1.3851","1.3236","0.7708"
"2","MLS","Austin","1.3851","0.7876","0.7883"
"3","MLS","CF Montreal","1.3851","1.2033","1.4452"
"4","MLS","Charlotte","1.3851","1.4439","0.7357"
"5","MLS","Crew","1.3851","1.3127","0.6832"
"6","MLS","D.C. United","1.3851","1.8377","1.1561"
"7","MLS","Dynamo FC","1.3851","2.3628","0.8934"
"8","MLS","FC Cincinnati","1.3851","1.7065","0.7357"
"9","MLS","FC Dallas","1.3851","2.1659","1.1036"
"10","MLS","Fire","1.3851","1.3127","1.051"
"11","MLS","Inter Miami","1.3851","1.5041","1.0116"
"12","MLS","LA Galaxy","1.3851","1.9438","0.7115"
"13","MLS","LAFC","1.3851","2.1659","0.9249"
"14","MLS","Minnesota Utd","1.3851","1.6244","1.1561"
"15","MLS","Nashville","1.3851","1.969","0.9985"
"16","MLS","NE Revolution","1.3851","1.1231","1.1561"
"17","MLS","NY Red Bulls","1.3851","0.9997","0.9338"
"18","MLS","NYCFC","1.3851","1.9034","0.6832"
"19","MLS","Orlando City","1.3851","1.1431","1.108"
"20","MLS","Philadelphia","1.3851","1.8651","1.108"
"21","MLS","Portland Timbers","1.3851","2.1057","1.0116"
"22","MLS","Rapids","1.3851","1.5643","1.108"
"23","MLS","RSL","1.3851","1.6846","0.8671"
"24","MLS","Seattle","1.3851","1.7448","0.8671"
"25","MLS","SJ Earthquakes","1.3851","1.5096","1.7868"
"26","MLS","Sporting KC","1.3851","1.083","1.1561"
"27","MLS","St. Louis","1.3851","1.9493","1.5608"
"28","MLS","Toronto FC","1.3851","0.7821","1.108"
"29","MLS","Vancouver Wcaps","1.3851","1.4995","0.7115"
"30","ARG","Arg Juniors","0.1614","0","8.2169"
"31","ARG","Atletico Tucuman","0.1614","3.0979","6.1627"
"32","ARG","Banfield","0.1614","2.0653","8.2169"
"33","ARG","Barracas Central","0.1614","4.1305","5.478"
"34","ARG","Belgrano","0.1614","3.0979","8.2169"
"35","ARG","Boca Juniors","0.1614","8.261","5.478"
"36","ARG","Central Cordoba","0.1614","4.1305","9.5864"
"37","ARG","Defensa Justicia","0.1614","4.1305","6.8474"
"38","ARG","Deportivo Riestra","0.1614","0","6.1627"
"39","ARG","Estudiantes","0.1614","4.1305","5.478"
"40","ARG","Gimnasia–LP","0.1614","6.1958","6.1627"
"41","ARG","Godoy Cruz","0.1614","3.0979","2.0542"
"42","ARG","Huracan","0.1614","9.2937","2.0542"
"43","ARG","Independiente","0.1614","0","0"
"44","ARG","Independiente Rivadavia","0.1614","6.1958","1.3695"
"45","ARG","Instituto","0.1614","8.261","2.739"
"46","ARG","Lanus","0.1614","6.1958","4.1085"
"47","ARG","Newells OB","0.1614","0","6.1627"
"48","ARG","Platense","0.1614","4.1305","6.8474"
"49","ARG","Racing Club","0.1614","16.5221","8.2169"
"50","ARG","River Plate","0.1614","0","6.1627"
"51","ARG","Rosario Central","0.1614","10.3263","5.478"
"52","ARG","San Lorenzo","0.1614","3.0979","6.1627"
"53","ARG","Sarmiento","0.1614","6.1958","2.0542"
"54","ARG","Talleres","0.1614","14.4568","4.1085"
"55","ARG","Tigre","0.1614","6.1958","8.2169"
"56","ARG","Union","0.1614","6.1958","2.0542"
"57","ARG","Velez Sarsfield","0.1614","4.1305","6.8474"
