"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","Home_xG","Away_xG","HY","AY","HR","AR","HST","AST","HCO","ACO","HF","AF","CS","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","Referee","matchid","all_matchday"
"1","MLS",2024-02-21,"Inter Miami","RSL",2,0,"H",1.4,0.8,1,1,0,0,7,2,6,5,12,8,"2-0",2,11,20,"6-5","Y","N","N",2,0,"Cristian Campo Hernández","2024-02-21-Inter Miami-RSL",1
"2","MLS",2024-02-24,"LAFC","Seattle",2,1,"H",1.5,1.8,2,2,0,0,6,6,6,2,16,6,"2-1",3,8,22,"6-2","Y","Y","N",4,0,"Wesley Costa","2024-02-24-LAFC-Seattle",1
"3","MLS",2024-02-24,"Crew","Atlanta Utd",1,0,"H",1.8,0.5,0,2,0,0,2,2,3,2,8,13,"1-0",1,5,21,"3-2","N","N","N",2,0,"Rafael Bonilla","2024-02-24-Crew-Atlanta Utd",1
"4","MLS",2024-02-24,"Portland Timbers","Rapids",4,1,"H",0.5,1.2,2,3,0,0,3,3,4,4,11,15,"4-1",5,8,26,"4-4","Y","Y","Y",5,0,"Aleksandar Zhelyazkov","2024-02-24-Portland Timbers-Rapids",1
"5","MLS",2024-02-24,"Philadelphia","Fire",2,2,"D",2.1,1.6,1,2,0,0,6,4,10,3,13,12,"2-2",4,13,25,"10-3","Y","Y","Y",3,0,"Muhammad Hassan","2024-02-24-Philadelphia-Fire",1
"6","MLS",2024-02-24,"D.C. United","NE Revolution",3,1,"H",4.5,0.8,3,5,0,2,5,5,7,5,17,12,"3-1",4,12,29,"7-5","Y","Y","Y",8,2,"Andrew Musashe","2024-02-24-D.C. United-NE Revolution",1
"7","MLS",2024-02-24,"St. Louis","RSL",1,1,"D",0.7,1.7,1,0,0,0,4,2,4,7,15,13,"1-1",2,11,28,"4-7","Y","N","N",1,0,"Lorenzo Hernandez","2024-02-24-St. Louis-RSL",1
"8","MLS",2024-02-24,"Austin","Minnesota Utd",1,2,"A",1.1,3,2,2,0,0,2,10,4,16,14,13,"1-2",3,20,27,"4-16","Y","Y","N",4,0,"Trevor Wiseman","2024-02-24-Austin-Minnesota Utd",1
"9","MLS",2024-02-24,"Orlando City","CF Montreal",0,0,"D",0.9,1,3,1,0,0,4,5,9,1,15,9,"0-0",0,10,24,"9-1","N","N","N",4,0,"Rafael Martinez","2024-02-24-Orlando City-CF Montreal",1
"10","MLS",2024-02-24,"FC Dallas","SJ Earthquakes",2,1,"H",1,0.9,0,2,0,0,9,5,10,1,10,15,"2-1",3,11,25,"10-1","Y","Y","N",2,0,"DeShun Beard","2024-02-24-FC Dallas-SJ Earthquakes",1
"11","MLS",2024-02-24,"Charlotte","NYCFC",1,0,"H",2,0.5,2,1,0,0,4,2,2,4,13,17,"1-0",1,6,30,"2-4","N","N","N",3,0,"Mario Maric","2024-02-24-Charlotte-NYCFC",1
"12","MLS",2024-02-24,"Dynamo FC","Sporting KC",1,1,"D",1,0.2,0,2,0,0,4,2,5,3,13,12,"1-1",2,8,25,"5-3","Y","N","N",2,0,"Jaime Herrera","2024-02-24-Dynamo FC-Sporting KC",1
"13","MLS",2024-02-25,"FC Cincinnati","Toronto FC",0,0,"D",0.9,0.5,1,4,0,0,5,3,8,3,14,16,"0-0",0,11,30,"8-3","N","N","N",5,0,"Jonathan Weiner","2024-02-25-FC Cincinnati-Toronto FC",1
"14","MLS",2024-02-25,"Nashville","NY Red Bulls",0,0,"D",0.1,1.4,3,0,0,0,3,5,3,5,13,15,"0-0",0,8,28,"3-5","N","N","N",3,0,"Cristian Campo","2024-02-25-Nashville-NY Red Bulls",1
"15","MLS",2024-02-25,"LA Galaxy","Inter Miami",1,1,"D",3.2,0.6,2,3,1,0,8,5,3,6,14,19,"1-1",2,9,33,"3-6","Y","N","N",5,1,"Gabriele Ciampi","2024-02-25-LA Galaxy-Inter Miami",1
"142","MLS",2024-03-02,"RSL","LAFC",3,0,"H",2.3,0.7,3,3,1,0,6,6,4,8,16,18,"3-0",3,12,34,"4-8","Y","Y","N",6,1,"Aleksandar Zhelyazkov","2024-03-02-RSL-LAFC",2
"143","MLS",2024-03-02,"Minnesota Utd","Crew",1,1,"D",0.8,1.4,1,0,0,0,4,6,5,3,17,4,"1-1",2,8,21,"5-3","Y","N","N",1,0,"Amin Hadzic","2024-03-02-Minnesota Utd-Crew",2
"144","MLS",2024-03-02,"Inter Miami","Orlando City",5,0,"H",2.8,0.8,3,1,0,0,5,3,1,5,18,12,"5-0",5,6,30,"1-5","Y","Y","Y",4,0,"Jaime Herrera","2024-03-02-Inter Miami-Orlando City",2
"145","MLS",2024-03-02,"Vancouver Wcaps","Charlotte",1,1,"D",1,1.3,2,2,0,0,5,5,5,5,7,11,"1-1",2,10,18,"5-5","Y","N","N",4,0,"Scott Bowman","2024-03-02-Vancouver Wcaps-Charlotte",2
"146","MLS",2024-03-02,"Dynamo FC","NY Red Bulls",1,2,"A",1.2,1,4,2,0,0,5,5,4,7,13,13,"1-2",3,11,26,"4-7","Y","Y","N",6,0,"Lorenzo Hernandez","2024-03-02-Dynamo FC-NY Red Bulls",2
"147","MLS",2024-03-02,"St. Louis","NYCFC",2,0,"H",0.8,0.5,5,3,0,1,3,1,5,3,21,13,"2-0",2,8,34,"5-3","Y","N","N",8,1,"Erick Lezama","2024-03-02-St. Louis-NYCFC",2
"148","MLS",2024-03-02,"FC Dallas","CF Montreal",1,2,"A",0.9,1.3,2,2,0,0,7,6,4,4,18,5,"1-2",3,8,23,"4-4","Y","Y","N",4,0,"Kyle Johnston","2024-03-02-FC Dallas-CF Montreal",2
"149","MLS",2024-03-02,"Sporting KC","Philadelphia",1,1,"D",0.9,0.5,1,2,0,0,7,2,7,2,9,13,"1-1",2,9,22,"7-2","Y","N","N",3,0,"Rafael Bonilla","2024-03-02-Sporting KC-Philadelphia",2
"150","MLS",2024-03-02,"Fire","FC Cincinnati",1,2,"A",1,0.9,3,3,0,0,0,5,3,9,16,12,"1-2",3,12,28,"3-9","Y","Y","N",6,0,"Mario Maric","2024-03-02-Fire-FC Cincinnati",2
"151","MLS",2024-03-02,"SJ Earthquakes","LA Galaxy",1,3,"A",0.8,1.6,2,2,0,0,3,6,10,2,18,8,"1-3",4,12,26,"10-2","Y","Y","Y",4,0,"Cristian Campo Hernández","2024-03-02-SJ Earthquakes-LA Galaxy",2
"152","MLS",2024-03-02,"Seattle","Austin",0,0,"D",1.2,0,3,5,0,0,3,1,9,0,14,18,"0-0",0,9,32,"9-0","N","N","N",8,0,"Rafael Martinez","2024-03-02-Seattle-Austin",2
"153","MLS",2024-03-02,"Rapids","Nashville",1,1,"D",0.6,1.5,1,0,0,0,2,1,1,3,16,7,"1-1",2,4,23,"1-3","Y","N","N",1,0,"Esteban Rosano","2024-03-02-Rapids-Nashville",2
"154","MLS",2024-03-02,"Portland Timbers","D.C. United",2,2,"D",0.8,2,3,2,0,0,3,7,4,8,15,15,"2-2",4,12,30,"4-8","Y","Y","Y",5,0,"Trevor Wiseman","2024-03-02-Portland Timbers-D.C. United",2
