"","Div","HomeTeam","AwayTeam","Date"
"522","ARG","Independiente","Rosario Central",2024-08-18
"523","ARG","Union","Arg Juniors",2024-08-18
"524","ARG","Lanus","Central Cordoba",2024-08-18
"525","ARG","Talleres","Independiente Rivadavia",2024-08-18
"526","ARG","Sarmiento","Tigre",2024-08-18
"527","ARG","Atletico Tucuman","Estudiantes",2024-08-18
"528","ARG","Platense","Barracas Central",2024-08-18
"529","ARG","Newells OB","Racing Club",2024-08-18
"530","ARG","Godoy Cruz","Deportivo Riestra",2024-08-18
"531","ARG","Defensa Justicia","Banfield",2024-08-18
"532","ARG","Boca Juniors","San Lorenzo",2024-08-18
"533","ARG","Velez Sarsfield","Instituto",2024-08-18
"534","ARG","Gimnasia–LP","River Plate",2024-08-18
"535","ARG","Huracan","Belgrano",2024-08-18
"1022","BRA","Criciuma","Vasco da Gama",2024-08-18
"1023","BRA","Red Bull Bragantino","Fortaleza",2024-08-18
"1024","BRA","Palmeiras","Sao Paulo",2024-08-18
"1025","BRA","Vitoria","Cruzeiro",2024-08-18
"1026","BRA","Atletico Mineiro","Cuiaba",2024-08-18
"1027","BRA","Atl Goianiense","Internacional",2024-08-18
"1028","BRA","Ath Paranaense","Juventude",2024-08-18
"1029","BRA","Fluminense","Corinthians",2024-08-18
"1030","BRA","Botafogo RJ","Flamengo",2024-08-18
"1031","BRA","Gremio","Bahia",2024-08-18
